Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total,heat_ion
43,6.175000000000000000e+20,6.792499999999999345e+20,3.501285425101214344e+01,4.933793522267207265e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.634085827374531073e+04,1.151473998037906313e+03
44,6.990000000000000000e+19,3.213750000000000328e+20,3.501250000000000284e+01,4.943212130998794152e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.258560943292544107e+04,1.303449918426715044e+02
45,7.807428571428569481e+21,2.200285714285714211e+21,3.501249999999999574e+01,4.948723310478823834e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.013686922023849474e+05,1.455878703083114851e+04
46,7.800000000000002097e+22,3.699718750000000270e+22,3.501250000000000284e+01,4.932281260704829151e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.981031904152384959e+05,1.454493471205776441e+05
47,1.128999999999999906e+23,8.495625000000000360e+22,3.501250000000000284e+01,4.924918894871108677e+01,6.000000000000000000e+01,4.500000000000000000e+01,9.295836344341471558e+05,2.105286062809386349e+05
48,5.993333333333332564e+22,5.137499999999999397e+22,3.501250000000000284e+01,4.927250878207425444e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.742583137408121256e+05,1.117597974883754505e+05
49,2.689999999999999895e+22,2.486499999999999764e+22,3.501250000000000284e+01,4.922789923538050516e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.101268393336859299e+05,5.016137740440433845e+04
50,1.344000000000000419e+22,1.238875000000000033e+22,3.501249999999999574e+01,4.928397990734264056e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.897105278360875091e+05,2.506204135000723181e+04
51,6.937499999999998558e+21,6.151249999999999672e+21,3.501251344086021788e+01,4.897529924675820467e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.299313742708456703e+05,1.293660058524368287e+04
52,4.545000000000000262e+21,3.402499999999999869e+21,3.501256875687568737e+01,4.876385011021307747e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.044698921623628121e+05,8.475221572602889864e+03
53,2.236999999999999214e+21,2.068499999999999869e+21,3.501260058113545881e+01,4.873661832245588954e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.997449163234837761e+04,4.171412686009385652e+03
54,1.194499999999999869e+21,1.297750000000000066e+21,3.501262034323984551e+01,4.923675207089191730e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.214207243801424920e+04,2.227426219686281456e+03
55,9.325000000000001311e+20,8.942500000000000655e+20,3.501262734584448566e+01,4.886187587363711771e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.857082273395468656e+04,1.738865592178700808e+03
56,6.385000000000000000e+20,6.530000000000000000e+20,3.501262725137039666e+01,4.883366003062786120e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.617947102621840895e+04,1.190633437647292794e+03
57,7.182500000000001966e+20,5.390000000000000655e+20,3.501262584659775001e+01,4.883413274862022746e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.545723804726696108e+04,1.339346071401985910e+03
58,7.020000000000000000e+20,4.406249999999999672e+20,3.501260718900653757e+01,4.807438907049640164e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.467536351530136017e+04,1.309044124085198973e+03
59,4.430000000000000000e+20,2.652749999999999672e+20,3.501352092726649090e+01,4.901667308933636491e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.285274522338190582e+04,8.260777022361011177e+02
60,2.095124999999999836e+20,1.262750000000000000e+20,3.501777338569696241e+01,5.147307250309281557e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.135541040122232516e+04,3.906853376743592889e+02
61,6.059684666666667213e+19,6.010361111111110656e+19,3.502324593973830247e+01,5.323059067934328681e+01,6.000000000000000000e+01,4.500000000000000000e+01,7.057218107772243093e+04,1.129970741696463818e+02
