# Target loading - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:28 pshenoa RSP_D_only_nodrift_20MW_Dpuff=6.80e22_W_div
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -3.07114E-01   6.21995E+17   8.23176E-02   1.06018E-01   7.89172E+03   1.05052E+03   6.84120E+03   1.25684E+02   9.24836E+02   6.21805E+02   4.28715E+02   4.29567E+00   1.21389E+02  -6.03876E-01   5.55431E+00  -4.48065E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.64235E+01   2.91687E+01
 -2.75339E-01   1.10007E+18   9.69260E-02   1.26332E-01   1.01479E+04   2.71006E+03   7.43785E+03   2.30352E+02   2.47970E+03   1.66054E+03   1.04952E+03   4.85100E+00   2.25501E+02  -5.64922E-01   5.55430E+00  -4.44888E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.82348E+01   3.02098E+01
 -2.43443E-01   2.00452E+18   1.11636E-01   1.36077E-01   1.24454E+04   3.94762E+03   8.49778E+03   4.46123E+02   3.50150E+03   2.35367E+03   1.59396E+03   1.57268E+01   4.30396E+02  -5.24890E-01   5.55429E+00  -4.41698E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.98512E+01   3.10365E+01
 -2.11564E-01   3.69864E+18   1.27469E-01   1.47977E-01   1.50843E+04   5.05559E+03   1.00287E+04   8.15723E+02   4.23986E+03   2.86009E+03   2.19550E+03   2.91465E+01   7.86576E+02  -4.83694E-01   5.55429E+00  -4.38510E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.27366E+01   3.27151E+01
 -1.79903E-01   7.05768E+18   1.49407E-01   1.66760E-01   1.95751E+04   7.46685E+03   1.21082E+04   1.62035E+03   5.84650E+03   3.96753E+03   3.49932E+03   6.38394E+01   1.55651E+03  -4.40587E-01   5.55428E+00  -4.35344E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.51470E+01   3.41102E+01
 -1.49095E-01   1.35283E+19   1.82253E-01   1.97682E-01   2.57557E+04   1.14221E+04   1.43336E+04   3.36569E+03   8.05645E+03   5.54932E+03   5.87282E+03   1.70061E+02   3.19563E+03  -3.96024E-01   5.55427E+00  -4.32263E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.82497E+01   3.57010E+01
 -1.19421E-01   2.58500E+19   2.34990E-01   2.50328E-01   3.22978E+04   1.61346E+04   1.61632E+04   6.93610E+03   9.19846E+03   6.55201E+03   9.58255E+03   4.10235E+02   6.52587E+03  -3.50182E-01   5.55427E+00  -4.29296E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.28527E+01   3.82804E+01
 -9.12713E-02   4.56202E+19   3.28841E-01   3.49368E-01   4.44585E+04   2.66844E+04   1.77742E+04   1.45248E+04   1.21596E+04   9.17395E+03   1.75104E+04   1.05503E+03   1.34697E+04  -3.02220E-01   5.55426E+00  -4.26481E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.66325E+01   4.03642E+01
 -6.53910E-02   7.47693E+19   4.43723E-01   4.71147E-01   6.11540E+04   4.16646E+04   1.94893E+04   2.67940E+04   1.48707E+04   1.27028E+04   2.89618E+04   2.77375E+03   2.40202E+04  -2.52625E-01   5.55426E+00  -4.23893E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.43767E+01   4.44807E+01
 -4.22125E-02   1.10148E+20   5.65953E-01   6.03480E-01   8.70095E+04   6.55034E+04   2.15061E+04   4.51499E+04   2.03535E+04   1.90193E+04   4.64841E+04   5.42932E+03   3.97206E+04  -2.00743E-01   5.55426E+00  -4.21575E+00   0.00000E+00   0.00000E+00   0.00000E+00   8.10400E+01   4.81336E+01
 -2.23437E-02   1.52174E+20   6.58066E-01   6.99885E-01   1.18060E+05   9.42166E+04   2.38435E+04   6.44184E+04   2.97982E+04   2.78353E+04   6.63814E+04   7.93911E+03   5.64793E+04  -1.43444E-01   5.55425E+00  -4.19588E+00   0.00000E+00   0.00000E+00   0.00000E+00   9.54081E+01   5.56741E+01
 -6.67591E-03   1.88961E+20   7.30390E-01   7.75695E-01   1.48334E+05   1.21896E+05   2.64385E+04   8.56838E+04   3.62118E+04   3.61757E+04   8.57199E+04   1.19972E+04   7.36866E+04  -5.65283E-02   5.55425E+00  -4.18021E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.27822E+02   7.21478E+01
  8.15737E-03   2.27817E+20   7.75243E-01   8.20227E-01   1.73345E+05   1.43605E+05   2.97406E+04   1.00211E+05   4.33935E+04   4.40388E+04   9.95659E+04   1.50651E+04   8.51461E+04   7.04409E-04   5.55425E+00  -4.16538E+00   6.77133E+07   6.41262E+07   1.35338E+06   1.64045E+02   7.42314E+01
  2.84488E-02   2.78837E+20   8.34762E-01   8.84697E-01   2.27870E+05   1.91455E+05   3.64147E+04   1.29352E+05   6.21025E+04   6.27714E+04   1.28684E+05   2.13057E+04   1.08047E+05   2.45388E-03   5.55424E+00  -4.14509E+00   7.79713E+07   7.47485E+07   1.56369E+06   1.24738E+02   5.71003E+01
  5.70948E-02   3.39443E+20   8.86389E-01   9.40462E-01   2.94070E+05   2.44440E+05   4.96303E+04   1.51324E+05   9.31158E+04   8.54200E+04   1.59020E+05   2.32469E+04   1.28077E+05   4.85436E-03   5.55424E+00  -4.11644E+00   6.75612E+07   6.54751E+07   1.30081E+06   1.08759E+02   4.95303E+01
  9.18439E-02   3.84456E+20   9.39896E-01   1.00231E+00   4.17773E+05   3.38245E+05   7.95273E+04   1.97545E+05   1.40700E+05   1.27831E+05   2.10414E+05   3.38866E+04   1.63659E+05   7.84668E-03   5.55524E+00  -4.08172E+00   5.37918E+07   5.27225E+07   1.14175E+06   9.83122E+01   4.47358E+01
  1.29296E-01   3.91045E+20   9.89956E-01   1.06481E+00   5.22229E+05   4.02699E+05   1.19531E+05   2.28247E+05   1.74451E+05   1.57170E+05   2.45529E+05   4.06894E+04   1.87558E+05   1.13729E-02   5.55864E+00  -4.04445E+00   3.76418E+07   3.73157E+07   8.82911E+05   9.02146E+01   4.11794E+01
  1.73841E-01   3.54495E+20   1.07933E+00   1.18496E+00   4.94227E+05   3.52035E+05   1.42192E+05   1.86801E+05   1.65234E+05   1.45549E+05   2.06486E+05   3.52235E+04   1.51578E+05   1.53775E-02   5.56305E+00  -4.00013E+00   2.59240E+07   2.60017E+07   5.21145E+05   8.32886E+01   3.79915E+01
  2.33655E-01   2.81056E+20   1.36192E+00   1.56221E+00   3.73816E+05   2.17215E+05   1.56601E+05   1.45991E+05   7.12242E+04   8.38521E+04   1.33363E+05   3.62960E+04   1.09695E+05   1.98112E-02   5.56623E+00  -3.94042E+00   1.46048E+07   1.48329E+07   2.38018E+05   7.72678E+01   3.52308E+01
  3.11418E-01   1.21332E+20   4.22632E+00   5.98281E+00   3.18692E+05   2.06320E+05   1.12372E+05   1.89431E+05   1.68897E+04   1.22820E+05   8.35008E+04   1.11542E+05   7.78883E+04   2.46417E-02   5.56883E+00  -3.86270E+00   1.11239E+07   1.14501E+07   1.55939E+05   7.17644E+01   3.26963E+01
  3.89613E-01   1.50641E+19   2.68484E+01   2.73964E+01   4.46579E+05   3.78188E+05   6.83917E+04   3.70045E+05   8.14281E+03   3.45852E+05   3.23360E+04   3.40415E+05   2.96301E+04   2.98075E-02   5.57710E+00  -3.78520E+00   2.26166E+07   2.35807E+07   4.18997E+05   6.64153E+01   3.03013E+01
  4.61617E-01   5.50734E+18   3.87241E+01   5.07293E+01   3.82003E+05   3.23051E+05   5.89514E+04   3.16913E+05   6.13824E+03   3.07408E+05   1.56438E+04   3.03309E+05   1.36040E+04   3.52339E-02   5.59350E+00  -3.71513E+00   2.15876E+07   2.27642E+07   3.95312E+05   6.18790E+01   2.81736E+01
  5.31891E-01   3.17610E+18   3.80352E+01   6.51227E+01   2.89901E+05   2.32952E+05   5.69488E+04   2.26510E+05   6.44224E+03   2.21153E+05   1.17997E+04   2.16851E+05   9.65892E+03   4.08650E-02   5.61632E+00  -3.64887E+00   1.47191E+07   1.56768E+07   3.11920E+05   5.79863E+01   2.63040E+01
  5.98708E-01   2.08130E+18   3.50398E+01   7.31765E+01   1.94279E+05   1.38871E+05   5.54084E+04   1.34351E+05   4.51981E+03   1.30882E+05   7.98877E+03   1.27864E+05   6.48682E+03   4.66425E-02   5.64519E+00  -3.58866E+00   9.00337E+06   9.67074E+06   1.92437E+05   5.43163E+01   2.44979E+01
  6.64397E-01   1.39966E+18   3.23393E+01   7.75718E+01   1.42798E+05   8.71511E+04   5.56472E+04   8.53421E+04   1.80900E+03   8.19231E+04   5.22793E+03   8.07153E+04   4.62679E+03   5.25122E-02   5.67869E+00  -3.53226E+00   5.61593E+06   6.07543E+06   1.27182E+05   5.12224E+01   2.29416E+01
  7.26726E-01   9.51572E+17   2.98208E+01   7.96925E+01   1.15896E+05   5.95788E+04   5.63172E+04   5.66465E+04   2.93225E+03   5.53003E+04   4.27847E+03   5.33425E+04   3.30408E+03   5.84156E-02   5.71577E+00  -3.48226E+00   3.60838E+06   3.92669E+06   8.64708E+04   4.84298E+01   2.15947E+01
  7.85306E-01   6.43766E+17   2.74886E+01   8.21710E+01   9.97527E+04   4.24784E+04   5.72743E+04   4.14425E+04   1.03592E+03   3.97824E+04   2.69599E+03   3.90907E+04   2.35175E+03   6.42960E-02   5.75473E+00  -3.43858E+00   2.36318E+06   2.58420E+06   5.98203E+04   4.59326E+01   2.04162E+01
  8.39878E-01   4.53110E+17   2.51573E+01   8.17056E+01   8.23352E+04   2.40880E+04   5.82472E+04   2.37527E+04   3.35311E+02   2.22698E+04   1.81823E+03   2.20459E+04   1.70680E+03   7.01086E-02   5.79417E+00  -3.40092E+00   1.59587E+06   1.75222E+06   4.23509E+04   4.39696E+01   1.94041E+01
  8.88700E-01   3.26968E+17   2.30652E+01   8.19440E+01   7.50860E+04   1.52059E+04   5.98801E+04   1.45429E+04   6.63071E+02   1.36248E+04   1.58109E+03   1.31821E+04   1.36074E+03   7.58011E-02   5.83225E+00  -3.37047E+00   1.09644E+06   1.20806E+06   3.25343E+04   4.25053E+01   1.87665E+01
  9.32781E-01   2.42410E+17   2.11992E+01   8.16321E+01   6.97390E+04   1.03587E+04   5.93803E+04   1.00927E+04   2.65986E+02   9.28172E+03   1.07701E+03   9.10412E+03   9.88617E+02   8.13096E-02   5.86817E+00  -3.34492E+00   7.72839E+05   8.54100E+05   2.27723E+04   4.11492E+01   1.81456E+01
  9.71895E-01   1.88724E+17   1.94471E+01   7.87288E+01   7.05074E+04   9.20519E+03   6.13022E+04   7.74304E+03   1.46216E+03   7.86412E+03   1.34107E+03   6.88784E+03   8.55191E+02   8.65736E-02   5.90128E+00  -3.32425E+00   5.99457E+05   6.64294E+05   2.01352E+04   3.99006E+01   1.77633E+01
  1.00470E+00   1.48472E+17   1.78936E+01   7.65573E+01   6.79887E+04   6.33629E+03   6.16524E+04   6.15847E+03   1.77817E+02   5.58196E+03   7.54329E+02   5.46323E+03   6.95239E+02   9.15400E-02   5.93062E+00  -3.30961E+00   4.43230E+05   4.92420E+05   1.57202E+04   3.90300E+01   1.73325E+01
  1.03325E+00   1.19640E+17   1.64525E+01   7.32497E+01   7.09271E+04   9.47797E+03   6.14491E+04   8.26585E+03   1.21212E+03   8.52115E+03   9.56816E+02   7.71182E+03   5.54023E+02   9.61687E-02   5.95648E+00  -3.29751E+00   3.33593E+05   3.71490E+05   1.20314E+04   3.83313E+01   1.70986E+01
  1.05805E+00   9.66393E+16   1.51053E+01   6.80250E+01   6.57953E+04   4.50430E+03   6.12910E+04   4.48365E+03   2.06469E+01   4.06717E+03   4.37126E+02   4.05338E+03   4.30265E+02   1.00423E-01   5.97894E+00  -3.28700E+00   2.48177E+05   2.76979E+05   8.95632E+03   3.74880E+01   1.68631E+01
  1.07861E+00   7.23875E+16   1.38970E+01   6.14131E+01   6.40218E+04   2.51615E+03   6.15057E+04   1.14375E+03   1.37240E+03   1.74638E+03   7.69776E+02   8.30032E+02   3.13723E+02   1.04275E-01   5.99773E+00  -3.27867E+00   1.67906E+05   1.87788E+05   6.20817E+03   3.72099E+01   1.67956E+01
  1.09376E+00   4.06767E+16   1.27586E+01   5.49418E+01   2.08071E+03  -8.36222E+02   2.91693E+03  -8.69037E+02   3.28149E+01  -1.03425E+03   1.98032E+02  -1.05616E+03   1.87128E+02   1.07707E-01   6.01200E+00  -3.27367E+00   7.79006E+04   8.73132E+04   3.23317E+03   3.66531E+01   1.66651E+01
