# Target erosion - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:28 pshenoa RSP_D_only_nodrift_20MW_Dpuff=9.50e22_W_div
# x	 : coordinate along target [m]. <0 in PFR
# XX_flux_atm	 : incident flux of neutral atoms of species XX [1/m^2/s]
# XX_flux_ion	 : incident flux of ions of species XX [1/m^2/s]
# XX_temp_atm	 : temperature of neutral atoms of species XX [eV]
# XX_pres_atm	 : pressure of neutral atoms of species XX [Pa]
# XX_flux_mol	 : incident flux of molecules XX [1/m^2/s]
# XX_pres_mol	 : pressure of molecules XX [Pa]
# XX_sput	 : gross sputtering of material XX [g/y]
# XX_ersn	 : gross erosion of material XX [mm/y]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
#           x   D_flux_atm    D_temp_atm    D_pres_atm    D_flux_ion    D2_flux_mol   D2_pres_mol           xMP
 -3.07114E-01   1.89593E+21   1.50139E-01   2.47124E-02   4.92903E+19   2.21814E+23   5.58239E+00  -6.03876E-01
 -2.75339E-01   2.88737E+21   1.89137E-01   3.14675E-02   7.58692E+19   2.06681E+23   5.42990E+00  -5.64922E-01
 -2.43443E-01   3.83110E+21   3.15866E-01   6.58982E-02   1.64827E+20   1.97742E+23   5.22303E+00  -5.24890E-01
 -2.11564E-01   4.81283E+21   2.23300E-01   5.61718E-02   2.60454E+20   1.83798E+23   5.26121E+00  -4.83694E-01
 -1.79903E-01   6.11059E+21   1.35250E-01   8.86640E-02   4.78233E+20   1.66613E+23   5.13405E+00  -4.40587E-01
 -1.49095E-01   8.46287E+21   3.53068E-01   1.41656E-01   9.13656E+20   1.54686E+23   5.03075E+00  -3.96024E-01
 -1.19421E-01   9.39517E+21   2.93244E-01   1.84057E-01   1.82738E+21   1.46006E+23   4.95143E+00  -3.50182E-01
 -9.12713E-02   1.07523E+22   4.36808E-01   2.24036E-01   3.85917E+21   1.37451E+23   5.04356E+00  -3.02220E-01
 -6.53910E-02   1.45000E+22   5.29469E-01   4.08021E-01   7.26635E+21   1.27004E+23   5.03485E+00  -2.52625E-01
 -4.22125E-02   2.79309E+22   7.69434E-01   1.20955E+00   1.23653E+22   1.24928E+23   5.51179E+00  -2.00743E-01
 -2.23437E-02   3.72545E+22   7.00240E-01   1.57712E+00   1.79959E+22   1.40573E+23   6.29700E+00  -1.43444E-01
 -6.67591E-03   5.25927E+22   8.31357E-01   2.50626E+00   2.37790E+22   1.31759E+23   6.78580E+00  -5.65283E-02
  8.15737E-03   5.59918E+22   9.15987E-01   2.95148E+00   2.75049E+22   1.38263E+23   7.10878E+00   7.04409E-04
  2.84488E-02   9.78591E+22   1.01666E+00   5.58831E+00   3.46207E+22   1.46184E+23   7.88893E+00   2.45388E-03
  5.70948E-02   1.54189E+23   1.05408E+00   8.69872E+00   4.15698E+22   1.52103E+23   8.76410E+00   4.85436E-03
  9.18439E-02   2.49087E+23   1.12382E+00   1.47911E+01   5.37135E+22   1.87230E+23   1.10378E+01   7.84668E-03
  1.29296E-01   3.67332E+23   1.12027E+00   2.07954E+01   6.37671E+22   2.29338E+23   1.38809E+01   1.13729E-02
  1.73841E-01   4.36985E+23   1.16048E+00   2.40854E+01   5.27728E+22   2.26243E+23   1.42258E+01   1.53775E-02
  2.33655E-01   3.54121E+23   1.26435E+00   1.99617E+01   3.84268E+22   1.24830E+23   8.41028E+00   1.98112E-02
  3.11418E-01   1.78032E+23   1.75616E+00   1.30595E+01   3.04826E+22   2.20716E+22   1.95671E+00   2.46417E-02
  3.89613E-01   2.97638E+22   5.26051E+00   5.82698E+00   3.59480E+22   4.18690E+20   8.18073E-02   2.98075E-02
  4.61617E-01   2.75468E+21   2.46215E+01   1.59291E+00   9.91983E+21   0.00000E+00   1.60863E-02   3.52339E-02
  5.31891E-01   1.00858E+21   4.81134E+01   1.30395E+00   5.43836E+21   1.21241E+20   1.80645E-02   4.08650E-02
  5.98708E-01   9.34490E+20   5.28829E+01   1.13299E+00   3.51516E+21   0.00000E+00   9.20618E-03   4.66425E-02
  6.64397E-01   7.88106E+20   2.68799E+01   5.45034E-01   2.51912E+21   0.00000E+00   5.76402E-03   5.25122E-02
  7.26726E-01   1.91448E+20   5.97606E+01   3.84146E-01   1.77535E+21   0.00000E+00   3.44362E-03   5.84156E-02
  7.85306E-01   4.05269E+20   5.71441E+01   4.06270E-01   1.29533E+21   0.00000E+00   2.36957E-03   6.42960E-02
