# Target erosion - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:27 pshenoa RSP_D_only_nodrift_20MW_Dpuff=1.13e22_W_div
# x	 : coordinate along target [m]. <0 in PFR
# XX_flux_atm	 : incident flux of neutral atoms of species XX [1/m^2/s]
# XX_flux_ion	 : incident flux of ions of species XX [1/m^2/s]
# XX_temp_atm	 : temperature of neutral atoms of species XX [eV]
# XX_pres_atm	 : pressure of neutral atoms of species XX [Pa]
# XX_flux_mol	 : incident flux of molecules XX [1/m^2/s]
# XX_pres_mol	 : pressure of molecules XX [Pa]
# XX_sput	 : gross sputtering of material XX [g/y]
# XX_ersn	 : gross erosion of material XX [mm/y]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
#           x   D_flux_atm    D_temp_atm    D_pres_atm    D_flux_ion    D2_flux_mol   D2_pres_mol           xMP
 -3.09594E-01   7.19121E+21   8.89143E-01   3.17013E-01   3.99463E+19   1.23746E+22   5.58914E-01  -6.03876E-01
 -2.79167E-01   8.43306E+21   9.82154E-01   3.60450E-01   8.00622E+19   1.04484E+22   4.29106E-01  -5.64922E-01
 -2.48074E-01   9.09708E+21   9.07559E-01   3.87637E-01   1.44873E+20   1.10357E+22   4.90585E-01  -5.24890E-01
 -2.16306E-01   7.97483E+21   9.90759E-01   3.87333E-01   2.55382E+20   9.60267E+21   4.17104E-01  -4.83694E-01
 -1.84364E-01   8.74949E+21   1.21137E+00   4.65395E-01   4.55866E+20   8.97488E+21   3.86149E-01  -4.40587E-01
 -1.52700E-01   1.07765E+22   1.14378E+00   5.76178E-01   8.33508E+20   8.42348E+21   4.24286E-01  -3.96024E-01
 -1.21990E-01   1.30156E+22   1.20616E+00   8.05256E-01   1.57898E+21   8.64484E+21   4.87887E-01  -3.50182E-01
 -9.25201E-02   1.56937E+22   1.41919E+00   1.05358E+00   3.20072E+21   8.74814E+21   4.89439E-01  -3.02220E-01
 -6.49742E-02   2.97116E+22   1.35525E+00   1.92297E+00   7.09575E+21   1.05747E+22   6.68506E-01  -2.52625E-01
 -4.08761E-02   6.43799E+22   1.51722E+00   4.71847E+00   1.85638E+22   1.39033E+22   1.12288E+00  -2.00743E-01
 -2.13763E-02   1.53928E+23   1.51387E+00   1.20956E+01   4.91288E+22   2.33629E+22   2.04402E+00  -1.43444E-01
 -6.44538E-03   3.75409E+23   1.56513E+00   2.96270E+01   1.03605E+23   5.05876E+22   4.00061E+00  -5.65283E-02
  7.73269E-03   7.21220E+23   1.64096E+00   5.76171E+01   1.78830E+23   9.27593E+22   7.26055E+00   7.04409E-04
  2.69840E-02   8.91731E+23   1.82851E+00   7.46668E+01   2.27431E+23   7.36346E+22   6.37881E+00   2.45388E-03
  5.39491E-02   5.85373E+23   2.29986E+00   5.77290E+01   1.90792E+23   2.47915E+22   2.51247E+00   4.85436E-03
  8.69687E-02   4.23731E+23   2.66258E+00   4.66097E+01   1.77192E+23   1.22197E+22   1.40583E+00   7.84668E-03
  1.25659E-01   3.03018E+23   2.66922E+00   3.32027E+01   1.28291E+23   9.07005E+21   9.79554E-01   1.13729E-02
  1.69906E-01   1.98596E+23   2.61702E+00   2.17975E+01   9.08216E+22   6.70078E+21   8.40723E-01   1.53775E-02
  2.17588E-01   1.02813E+23   3.29744E+00   1.38645E+01   6.17445E+22   2.08969E+21   3.09724E-01   1.98112E-02
  2.67844E-01   2.37084E+22   7.21488E+00   6.02307E+00   3.40132E+22   2.89324E+20   9.27524E-02   2.46417E-02
  3.18916E-01   4.49526E+21   2.14334E+01   2.57554E+00   1.19244E+22   0.00000E+00   2.89704E-02   2.98075E-02
  3.68977E-01   1.89722E+21   2.76408E+01   1.43717E+00   5.88410E+21   3.21242E+19   1.71841E-02   3.52339E-02
  4.16918E-01   1.05403E+21   3.40094E+01   9.26455E-01   3.66448E+21   0.00000E+00   1.02822E-02   4.08650E-02
  4.62965E-01   5.42911E+20   3.05214E+01   7.27133E-01   2.37051E+21   0.00000E+00   4.09950E-03   4.66425E-02
  5.06401E-01   2.58829E+20   6.57735E+01   4.16939E-01   1.67463E+21   0.00000E+00   4.05121E-03   5.25122E-02
  5.46523E-01   2.90106E+20   3.05479E+01   2.31651E-01   1.15957E+21   0.00000E+00   8.01293E-04   5.84156E-02
