# Target erosion - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:28 pshenoa RSP_D_only_nodrift_20MW_Dpuff=1.22e23_W_div
# x	 : coordinate along target [m]. <0 in PFR
# XX_flux_atm	 : incident flux of neutral atoms of species XX [1/m^2/s]
# XX_flux_ion	 : incident flux of ions of species XX [1/m^2/s]
# XX_temp_atm	 : temperature of neutral atoms of species XX [eV]
# XX_pres_atm	 : pressure of neutral atoms of species XX [Pa]
# XX_flux_mol	 : incident flux of molecules XX [1/m^2/s]
# XX_pres_mol	 : pressure of molecules XX [Pa]
# XX_sput	 : gross sputtering of material XX [g/y]
# XX_ersn	 : gross erosion of material XX [mm/y]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
#           x   D_flux_atm    D_temp_atm    D_pres_atm    D_flux_ion    D2_flux_mol   D2_pres_mol           xMP
 -3.07114E-01   9.62095E+20   1.01387E-01   6.26204E-03   3.25512E+19   2.43107E+23   6.33053E+00  -6.03876E-01
 -2.75339E-01   2.10685E+21   2.33066E-01   2.35216E-02   6.54027E+19   2.27957E+23   6.10203E+00  -5.64922E-01
 -2.43443E-01   3.19304E+21   1.68000E-01   5.79189E-02   9.64098E+19   2.09951E+23   5.80541E+00  -5.24890E-01
 -2.11564E-01   7.16874E+21   1.86824E-01   6.58852E-02   1.62798E+20   2.08515E+23   5.92312E+00  -4.83694E-01
 -1.79903E-01   7.53138E+21   2.04607E-01   1.00810E-01   3.02453E+20   2.13154E+23   6.21226E+00  -4.40587E-01
 -1.49095E-01   5.19596E+21   2.25771E-01   9.01090E-02   6.28333E+20   1.92089E+23   5.46765E+00  -3.96024E-01
 -1.19421E-01   6.18283E+21   2.83613E-01   8.94171E-02   1.12416E+21   1.76162E+23   5.84997E+00  -3.50182E-01
 -9.12713E-02   1.49675E+22   3.02811E-01   2.26582E-01   2.16562E+21   1.63133E+23   5.61784E+00  -3.02220E-01
 -6.53910E-02   8.90136E+21   3.36177E-01   1.81688E-01   4.06643E+21   1.63614E+23   5.85920E+00  -2.52625E-01
 -4.22125E-02   1.93200E+22   3.94638E-01   4.19898E-01   7.46263E+21   1.44448E+23   5.27868E+00  -2.00743E-01
 -2.23437E-02   2.46498E+22   5.67302E-01   7.72496E-01   1.14651E+22   1.43386E+23   5.63204E+00  -1.43444E-01
 -6.67591E-03   3.51341E+22   6.40934E-01   1.34456E+00   1.58710E+22   1.38509E+23   6.36262E+00  -5.65283E-02
  8.15737E-03   3.32430E+22   7.24223E-01   1.45073E+00   1.89789E+22   1.34972E+23   6.40497E+00   7.04409E-04
  2.84488E-02   6.15667E+22   8.32009E-01   2.76987E+00   2.55401E+22   1.46168E+23   7.25379E+00   2.45388E-03
  5.70948E-02   8.57046E+22   8.90964E-01   4.38539E+00   3.16419E+22   1.59441E+23   8.44372E+00   4.85436E-03
  9.18439E-02   1.61194E+23   9.56076E-01   8.23483E+00   4.08270E+22   2.00037E+23   1.17089E+01   7.84668E-03
  1.29296E-01   2.34267E+23   1.00752E+00   1.21284E+01   4.90464E+22   2.24712E+23   1.31536E+01   1.13729E-02
  1.73841E-01   2.69620E+23   1.06104E+00   1.35888E+01   4.16835E+22   2.21835E+23   1.41706E+01   1.53775E-02
  2.33655E-01   2.65964E+23   1.06969E+00   1.33786E+01   2.96043E+22   1.84646E+23   1.14888E+01   1.98112E-02
  3.11418E-01   2.70976E+23   1.22175E+00   1.48290E+01   2.27963E+22   1.15138E+23   7.40294E+00   2.46417E-02
  3.89613E-01   1.80329E+23   1.58901E+00   1.19554E+01   2.87892E+22   3.25864E+22   2.56236E+00   2.98075E-02
  4.61617E-01   5.39293E+22   3.16668E+00   6.61512E+00   2.58513E+22   1.30613E+21   1.85496E-01   3.52339E-02
  5.31891E-01   5.42002E+21   1.20664E+01   2.11024E+00   1.02214E+22   7.88194E+19   2.61577E-02   4.08650E-02
  5.98708E-01   8.44563E+20   3.63797E+01   9.01069E-01   4.09820E+21   0.00000E+00   8.79919E-03   4.66425E-02
  6.64397E-01   5.74250E+20   2.02244E+01   4.57232E-01   2.72454E+21   1.75215E+19   7.92727E-03   5.25122E-02
  7.26726E-01   3.96127E+20   3.15039E+01   3.54609E-01   1.98431E+21   0.00000E+00   5.74758E-03   5.84156E-02
  7.85306E-01   2.34070E+20   5.48997E+01   3.05955E-01   1.46479E+21   1.96429E+19   4.07043E-03   6.42960E-02
  8.39878E-01   2.62681E+20   1.95599E+01   1.29398E-01   1.09245E+21   2.12932E+19   5.67652E-03   7.01086E-02
  8.88700E-01   1.85777E+20   2.07691E+01   1.92582E-01   8.70548E+20   0.00000E+00   2.76338E-03   7.58011E-02
  9.32781E-01   1.42352E+20   7.70264E+01   1.98770E-01   6.35443E+20   0.00000E+00   1.19899E-03   8.13096E-02
  9.71895E-01   1.28598E+20   4.81614E+01   1.22935E-01   5.45030E+20   0.00000E+00   1.62080E-03   8.65736E-02
  1.00470E+00   1.07528E+20   8.38859E+01   1.32512E-01   4.39266E+20   0.00000E+00   2.52964E-04   9.15400E-02
  1.03325E+00   7.26833E+17   9.09521E+01   3.36383E-02   3.47105E+20   0.00000E+00   4.32253E-04   9.61687E-02
  1.05805E+00   4.88493E+19   3.73113E+01   3.46573E-02   2.63871E+20   0.00000E+00   0.00000E+00   1.00423E-01
