# Target erosion - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:28 pshenoa RSP_D_only_nodrift_20MW_Dpuff=9.50e22_W_div
# x	 : coordinate along target [m]. <0 in PFR
# XX_flux_atm	 : incident flux of neutral atoms of species XX [1/m^2/s]
# XX_flux_ion	 : incident flux of ions of species XX [1/m^2/s]
# XX_temp_atm	 : temperature of neutral atoms of species XX [eV]
# XX_pres_atm	 : pressure of neutral atoms of species XX [Pa]
# XX_flux_mol	 : incident flux of molecules XX [1/m^2/s]
# XX_pres_mol	 : pressure of molecules XX [Pa]
# XX_sput	 : gross sputtering of material XX [g/y]
# XX_ersn	 : gross erosion of material XX [mm/y]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
#           x   D_flux_atm    D_temp_atm    D_pres_atm    D_flux_ion    D2_flux_mol   D2_pres_mol           xMP
 -3.09594E-01   2.19622E+22   8.13219E-01   8.40815E-01   4.76992E+17   9.40139E+22   3.27314E+00  -6.03876E-01
 -2.79167E-01   2.63674E+22   7.53922E-01   8.56420E-01   1.41325E+18   8.89706E+22   3.22101E+00  -5.64922E-01
 -2.48074E-01   2.52666E+22   7.28057E-01   8.39361E-01   3.51874E+18   8.40567E+22   3.24649E+00  -5.24890E-01
 -2.16306E-01   3.22466E+22   7.71110E-01   1.13914E+00   9.13428E+18   7.23480E+22   2.56498E+00  -4.83694E-01
 -1.84364E-01   2.73345E+22   8.04178E-01   1.00664E+00   2.53648E+19   6.61907E+22   2.54255E+00  -4.40587E-01
 -1.52700E-01   2.91979E+22   8.52188E-01   1.12814E+00   7.40339E+19   6.18163E+22   2.77769E+00  -3.96024E-01
 -1.21990E-01   3.45752E+22   7.67137E-01   1.16344E+00   2.41991E+20   5.76447E+22   2.45290E+00  -3.50182E-01
 -9.25201E-02   3.46624E+22   9.02633E-01   1.32281E+00   7.89276E+20   4.84373E+22   2.21504E+00  -3.02220E-01
 -6.49742E-02   3.87773E+22   7.73219E-01   1.54752E+00   2.50935E+21   5.71207E+22   2.73074E+00  -2.52625E-01
 -4.08761E-02   5.00625E+22   8.63082E-01   2.25797E+00   8.16607E+21   5.54520E+22   3.04505E+00  -2.00743E-01
 -2.13763E-02   9.26076E+22   1.15389E+00   5.27056E+00   2.09921E+22   7.11091E+22   4.21144E+00  -1.43444E-01
 -6.44538E-03   1.37034E+23   1.19190E+00   7.83243E+00   3.65235E+22   8.69530E+22   5.90138E+00  -5.65283E-02
  7.73269E-03   2.06739E+23   1.18449E+00   1.32281E+01   5.24027E+22   1.15689E+23   7.16234E+00   7.04409E-04
  2.69840E-02   3.47237E+23   1.21905E+00   2.24701E+01   7.58889E+22   1.49860E+23   1.05176E+01   2.45388E-03
  5.39491E-02   5.26987E+23   1.20242E+00   3.16514E+01   8.93425E+22   2.13377E+23   1.40272E+01   4.85436E-03
  8.69687E-02   6.00295E+23   1.23376E+00   3.75880E+01   9.59771E+22   2.12413E+23   1.49776E+01   7.84668E-03
  1.25659E-01   5.58826E+23   1.31476E+00   3.65244E+01   9.52613E+22   1.77820E+23   1.24231E+01   1.13729E-02
  1.69906E-01   4.23475E+23   1.41929E+00   2.93785E+01   8.09105E+22   9.82761E+22   7.12511E+00   1.53775E-02
  2.17588E-01   3.48877E+23   1.57383E+00   2.53725E+01   7.03368E+22   4.81906E+22   3.78331E+00   1.98112E-02
  2.67844E-01   2.26587E+23   1.71474E+00   1.81121E+01   6.13183E+22   2.24303E+22   1.89623E+00   2.46417E-02
  3.18916E-01   1.69347E+23   2.04460E+00   1.50842E+01   5.01652E+22   9.86728E+21   9.35103E-01   2.98075E-02
  3.68977E-01   7.56264E+22   2.68930E+00   8.34299E+00   3.29058E+22   2.30917E+21   2.68978E-01   3.52339E-02
  4.16918E-01   2.95628E+22   4.52290E+00   4.73289E+00   2.16758E+22   5.24197E+20   8.39512E-02   4.08650E-02
  4.62965E-01   8.93421E+21   8.22014E+00   2.44858E+00   1.14509E+22   5.72550E+19   2.72685E-02   4.66425E-02
  5.06401E-01   2.82876E+21   1.37403E+01   1.16246E+00   6.83439E+21   3.11348E+19   1.51598E-02   5.25122E-02
  5.46523E-01   1.49576E+21   1.39881E+01   7.58401E-01   4.27888E+21   3.28612E+19   1.32898E-02   5.84156E-02
  5.84501E-01   8.88334E+20   1.93392E+01   3.82943E-01   2.79355E+21   0.00000E+00   4.79787E-03   6.42960E-02
  6.19861E-01   6.48686E+20   1.99715E+01   3.48714E-01   1.98157E+21   0.00000E+00   2.44834E-03   7.01086E-02
  6.52622E-01   2.52012E+20   3.10164E+01   1.66565E-01   1.40215E+21   0.00000E+00   4.22881E-03   7.58011E-02
  6.82978E-01   3.23742E+20   7.84993E+00   2.87815E-01   1.04893E+21   0.00000E+00   2.02674E-03   8.13096E-02
  7.10965E-01   3.50663E+20   4.15291E+01   2.54228E-01   7.57037E+20   8.50086E+17   1.11878E-03   8.65736E-02
  7.36429E-01   4.31190E+20   1.17136E+01   9.51248E-02   5.87072E+20   8.49020E+19   2.97579E-03   9.15400E-02
  7.58995E-01   3.21800E+20   3.30272E+00   1.62074E-01   4.37938E+20   0.00000E+00   8.44398E-04   9.61687E-02
  7.78734E-01   1.90162E+20   2.38698E+00   1.62324E-01   3.32497E+20   7.59565E+19   3.74270E-03   1.00423E-01
  7.95096E-01   3.84263E+20   2.81243E+00   2.37967E-01   2.30529E+20   0.00000E+00   6.01316E-06   1.04275E-01
  8.08420E-01   1.95827E+18   6.07818E+00   1.17746E-01   1.09165E+20   0.00000E+00   1.20530E-03   1.07707E-01
