# Target erosion - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:27 pshenoa RSP_D_only_nodrift_20MW_Dpuff=1.13e22_W_div
# x	 : coordinate along target [m]. <0 in PFR
# XX_flux_atm	 : incident flux of neutral atoms of species XX [1/m^2/s]
# XX_flux_ion	 : incident flux of ions of species XX [1/m^2/s]
# XX_temp_atm	 : temperature of neutral atoms of species XX [eV]
# XX_pres_atm	 : pressure of neutral atoms of species XX [Pa]
# XX_flux_mol	 : incident flux of molecules XX [1/m^2/s]
# XX_pres_mol	 : pressure of molecules XX [Pa]
# XX_sput	 : gross sputtering of material XX [g/y]
# XX_ersn	 : gross erosion of material XX [mm/y]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
#           x   D_flux_atm    D_temp_atm    D_pres_atm    D_flux_ion    D2_flux_mol   D2_pres_mol           xMP
 -3.07114E-01   4.49476E+21   9.24938E-01   2.15254E-01   8.37430E+19   2.94254E+22   8.55446E-01  -6.03876E-01
 -2.75339E-01   6.38184E+21   6.94839E-01   2.46437E-01   1.64139E+20   2.80179E+22   9.36806E-01  -5.64922E-01
 -2.43443E-01   7.65122E+21   9.50048E-01   3.03949E-01   3.10508E+20   2.68970E+22   8.95610E-01  -5.24890E-01
 -2.11564E-01   8.66474E+21   8.24674E-01   3.19466E-01   5.79517E+20   2.46567E+22   8.50261E-01  -4.83694E-01
 -1.79903E-01   9.30007E+21   9.59490E-01   4.03706E-01   1.13193E+21   2.25981E+22   8.27952E-01  -4.40587E-01
 -1.49095E-01   1.02370E+22   1.00058E+00   5.29949E-01   2.28448E+21   2.24813E+22   9.18392E-01  -3.96024E-01
 -1.19421E-01   1.36386E+22   1.09837E+00   8.71319E-01   4.45474E+21   2.11501E+22   9.71899E-01  -3.50182E-01
 -9.12713E-02   1.89775E+22   1.38798E+00   1.28362E+00   9.07009E+21   2.11416E+22   1.06351E+00  -3.02220E-01
 -6.53910E-02   3.77315E+22   1.41806E+00   2.83680E+00   1.69947E+22   2.03191E+22   1.15130E+00  -2.52625E-01
 -4.22125E-02   7.24058E+22   1.53779E+00   5.56439E+00   3.18089E+22   2.52573E+22   1.55624E+00  -2.00743E-01
 -2.23437E-02   1.45214E+23   1.55054E+00   1.09797E+01   5.33372E+22   3.16159E+22   2.27955E+00  -1.43444E-01
 -6.67591E-03   2.51665E+23   1.58143E+00   1.91801E+01   8.19774E+22   3.77594E+22   2.83395E+00  -5.65283E-02
  8.15737E-03   4.23800E+23   1.65147E+00   3.30170E+01   1.09269E+23   5.77753E+22   4.30620E+00   7.04409E-04
  2.84488E-02   6.59964E+23   1.80223E+00   5.45699E+01   1.56648E+23   5.56497E+22   4.72313E+00   2.45388E-03
  5.70948E-02   5.00500E+23   2.41237E+00   5.03714E+01   1.68094E+23   1.80857E+22   2.00494E+00   4.85436E-03
  9.18439E-02   1.73567E+23   4.30225E+00   2.99013E+01   1.83662E+23   3.04545E+21   5.07391E-01   7.84668E-03
  1.29296E-01   4.27810E+22   1.07728E+01   1.64874E+01   1.21634E+23   4.14995E+20   1.75945E-01   1.13729E-02
  1.73841E-01   8.09646E+21   2.57605E+01   6.36113E+00   3.48276E+22   5.99640E+19   6.28885E-02   1.53775E-02
  2.33655E-01   2.40424E+21   4.17972E+01   2.64581E+00   1.23646E+22   1.75995E+19   2.30842E-02   1.98112E-02
  3.11418E-01   1.62747E+21   4.18912E+01   1.73095E+00   5.92477E+21   7.08835E+18   1.34617E-02   2.46417E-02
  3.89613E-01   9.99046E+20   4.85374E+01   1.09859E+00   5.05456E+21   0.00000E+00   9.69087E-03   2.98075E-02
  4.61617E-01   8.32488E+20   4.48109E+01   1.06778E+00   3.29640E+21   1.61227E+19   1.05513E-02   3.52339E-02
  5.31891E-01   4.57999E+20   6.09732E+01   5.31797E-01   2.48727E+21   4.55379E+18   4.70904E-03   4.08650E-02
  5.98708E-01   2.57746E+20   4.17635E+01   3.47571E-01   1.64070E+21   0.00000E+00   3.75088E-03   4.66425E-02
  6.64397E-01   2.76634E+20   5.02654E+01   3.31534E-01   1.14889E+21   0.00000E+00   3.56735E-03   5.25122E-02
  7.26726E-01   1.75281E+20   8.27968E+01   2.52423E-01   8.21276E+20   0.00000E+00   1.82696E-03   5.84156E-02
  7.85306E-01   1.66237E+20   5.57506E+01   1.70980E-01   6.05713E+20   0.00000E+00   1.15833E-03   6.42960E-02
  8.39878E-01   7.79470E+19   3.22509E+01   1.08846E-01   4.55251E+20   0.00000E+00   8.77864E-04   7.01086E-02
