# Target erosion - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:28 pshenoa RSP_D_only_nodrift_20MW_Dpuff=6.80e22_W_div
# x	 : coordinate along target [m]. <0 in PFR
# XX_flux_atm	 : incident flux of neutral atoms of species XX [1/m^2/s]
# XX_flux_ion	 : incident flux of ions of species XX [1/m^2/s]
# XX_temp_atm	 : temperature of neutral atoms of species XX [eV]
# XX_pres_atm	 : pressure of neutral atoms of species XX [Pa]
# XX_flux_mol	 : incident flux of molecules XX [1/m^2/s]
# XX_pres_mol	 : pressure of molecules XX [Pa]
# XX_sput	 : gross sputtering of material XX [g/y]
# XX_ersn	 : gross erosion of material XX [mm/y]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
#           x   D_flux_atm    D_temp_atm    D_pres_atm    D_flux_ion    D2_flux_mol   D2_pres_mol           xMP
 -3.07114E-01   2.18625E+21   3.82918E-01   4.22576E-02   5.57107E+19   1.59886E+23   4.26614E+00  -6.03876E-01
 -2.75339E-01   4.49928E+21   2.21444E-01   5.98252E-02   1.03493E+20   1.38227E+23   3.80728E+00  -5.64922E-01
 -2.43443E-01   4.93638E+21   2.15955E-01   6.38796E-02   1.97528E+20   1.44613E+23   4.10830E+00  -5.24890E-01
 -2.11564E-01   5.04796E+21   2.66785E-01   9.24531E-02   3.60996E+20   1.24105E+23   3.73886E+00  -4.83694E-01
 -1.79903E-01   6.50488E+21   3.54034E-01   1.41531E-01   7.14351E+20   1.18179E+23   3.81661E+00  -4.40587E-01
 -1.49095E-01   1.01851E+22   3.16431E-01   1.72014E-01   1.46662E+21   1.10384E+23   3.72764E+00  -3.96024E-01
 -1.19421E-01   9.24634E+21   4.78319E-01   2.46959E-01   2.99502E+21   1.02803E+23   3.74093E+00  -3.50182E-01
 -9.12713E-02   1.15889E+22   5.57955E-01   4.02358E-01   6.18187E+21   1.01127E+23   3.98258E+00  -3.02220E-01
 -6.53910E-02   1.68494E+22   7.05924E-01   7.32373E-01   1.10240E+22   9.10546E+22   3.96227E+00  -2.52625E-01
 -4.22125E-02   2.92641E+22   8.84234E-01   1.62664E+00   1.82296E+22   9.31458E+22   4.44130E+00  -2.00743E-01
 -2.23437E-02   5.06915E+22   1.01189E+00   3.02921E+00   2.59209E+22   1.01608E+23   5.21621E+00  -1.43444E-01
 -6.67591E-03   7.10544E+22   1.04119E+00   4.30012E+00   3.38181E+22   1.00642E+23   5.38100E+00  -5.65283E-02
  8.15737E-03   9.42632E+22   1.08393E+00   5.77990E+00   3.90774E+22   1.03366E+23   5.83644E+00   7.04409E-04
  2.84488E-02   1.50610E+23   1.15914E+00   9.22932E+00   4.95876E+22   1.15289E+23   6.87421E+00   2.45388E-03
  5.70948E-02   2.52096E+23   1.19381E+00   1.56971E+01   5.87804E+22   1.36951E+23   8.50627E+00   4.85436E-03
  9.18439E-02   4.00512E+23   1.20857E+00   2.41591E+01   7.51105E+22   1.85187E+23   1.20143E+01   7.84668E-03
  1.29296E-01   5.14409E+23   1.24480E+00   3.12921E+01   8.60788E+22   2.03890E+23   1.34872E+01   1.13729E-02
  1.73841E-01   5.33353E+23   1.36091E+00   3.33748E+01   6.95659E+22   1.43918E+23   9.90250E+00   1.53775E-02
  2.33655E-01   2.54440E+23   1.86190E+00   2.00150E+01   5.03439E+22   2.35789E+22   1.96016E+00   1.98112E-02
  3.11418E-01   2.64474E+22   6.09192E+00   5.90136E+00   3.57465E+22   3.63851E+20   9.13807E-02   2.46417E-02
  3.89613E-01   3.15541E+21   2.30975E+01   2.43811E+00   1.35986E+22   2.94436E+19   3.09222E-02   2.98075E-02
  4.61617E-01   1.50917E+21   3.50614E+01   1.45731E+00   6.24350E+21   0.00000E+00   1.42533E-02   3.52339E-02
  5.31891E-01   8.25698E+20   3.82758E+01   1.11495E+00   4.43292E+21   7.55061E+18   8.57858E-03   4.08650E-02
  5.98708E-01   6.20280E+20   4.83161E+01   7.12520E-01   2.97710E+21   0.00000E+00   8.15815E-03   4.66425E-02
  6.64397E-01   4.47517E+20   4.48930E+01   5.47572E-01   2.12345E+21   7.92769E+18   8.70965E-03   5.25122E-02
