# Target erosion - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:28 pshenoa RSP_D_only_nodrift_20MW_Dpuff=1.76e23_W_div
# x	 : coordinate along target [m]. <0 in PFR
# XX_flux_atm	 : incident flux of neutral atoms of species XX [1/m^2/s]
# XX_flux_ion	 : incident flux of ions of species XX [1/m^2/s]
# XX_temp_atm	 : temperature of neutral atoms of species XX [eV]
# XX_pres_atm	 : pressure of neutral atoms of species XX [Pa]
# XX_flux_mol	 : incident flux of molecules XX [1/m^2/s]
# XX_pres_mol	 : pressure of molecules XX [Pa]
# XX_sput	 : gross sputtering of material XX [g/y]
# XX_ersn	 : gross erosion of material XX [mm/y]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
#           x   D_flux_atm    D_temp_atm    D_pres_atm    D_flux_ion    D2_flux_mol   D2_pres_mol           xMP
 -3.09594E-01   3.68542E+22   3.35331E-01   7.01753E-01   9.69652E+17   2.73421E+23   8.22599E+00  -6.03876E-01
 -2.79167E-01   4.16674E+22   4.07222E-01   8.06776E-01   2.65014E+18   2.28319E+23   7.60944E+00  -5.64922E-01
 -2.48074E-01   3.98970E+22   4.42591E-01   8.17069E-01   4.77616E+18   2.20434E+23   7.55918E+00  -5.24890E-01
 -2.16306E-01   4.28577E+22   5.30395E-01   9.68368E-01   1.12723E+19   2.12711E+23   7.23107E+00  -4.83694E-01
 -1.84364E-01   5.16493E+22   4.78069E-01   1.21437E+00   3.74036E+19   1.90974E+23   6.36160E+00  -4.40587E-01
 -1.52700E-01   4.04628E+22   5.70697E-01   9.84122E-01   1.00213E+20   1.81608E+23   6.77639E+00  -3.96024E-01
 -1.21990E-01   5.33027E+22   5.47308E-01   1.26137E+00   2.53225E+20   1.57358E+23   5.99989E+00  -3.50182E-01
 -9.25201E-02   4.89341E+22   5.52526E-01   1.26124E+00   6.46513E+20   1.54820E+23   6.26389E+00  -3.02220E-01
 -6.49742E-02   4.56492E+22   6.17298E-01   1.49016E+00   1.86313E+21   1.31014E+23   5.69991E+00  -2.52625E-01
 -4.08761E-02   4.75142E+22   6.91421E-01   1.62563E+00   5.24417E+21   1.40392E+23   6.44193E+00  -2.00743E-01
 -2.13763E-02   6.12414E+22   7.60454E-01   2.59639E+00   1.22117E+22   1.50542E+23   7.40496E+00  -1.43444E-01
