# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:28 pshenoa RSP_D_only_nodrift_20MW_Dpuff=1.22e23_W_div
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -3.09594E-01   3.22784E+15   6.83853E-01   5.32416E-01   6.93136E+04   1.52976E+04   5.40160E+04   2.42105E+00   1.52952E+04   9.49094E+03   5.80669E+03   6.83201E-01   1.73785E+00  -6.03876E-01   4.37836E+00  -3.46867E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.64235E+01   1.72549E+01
 -2.79167E-01   6.88913E+15   7.00555E-01   4.77652E-01   7.18627E+04   1.57844E+04   5.60783E+04   4.51562E+00   1.57799E+04   9.79224E+03   5.99217E+03   1.25103E+00   3.26459E+00  -5.64922E-01   4.38895E+00  -3.44014E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.82348E+01   1.80250E+01
 -2.48074E-01   1.75345E+16   6.25724E-01   5.61406E-01   7.24890E+04   1.68568E+04   5.56322E+04   1.13493E+01   1.68454E+04   1.04549E+04   6.40185E+03   2.79876E+00   8.55053E+00  -5.24890E-01   4.40024E+00  -3.41117E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.98512E+01   1.88147E+01
 -2.16306E-01   4.58836E+16   5.23488E-01   5.66969E-01   7.25793E+04   1.84765E+04   5.41028E+04   2.51764E+01   1.84513E+04   1.14537E+04   7.02278E+03   5.18699E+00   1.99894E+01  -4.83694E-01   4.41289E+00  -3.38205E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.27366E+01   2.00215E+01
 -1.84364E-01   1.45624E+17   4.83982E-01   6.31880E-01   7.39381E+04   1.77348E+04   5.62034E+04   7.55424E+01   1.76592E+04   1.09717E+04   6.76305E+03   1.46600E+01   6.08824E+01  -4.40587E-01   4.42627E+00  -3.35304E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.51470E+01   2.10368E+01
 -1.52700E-01   4.52509E+17   4.49038E-01   6.45563E-01   7.91324E+04   2.06540E+04   5.84784E+04   1.03797E+02   2.05502E+04   1.26732E+04   7.98079E+03  -7.76349E+01   1.81432E+02  -3.96024E-01   4.43954E+00  -3.32429E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.82497E+01   2.25487E+01
 -1.21990E-01   1.33286E+18   4.54326E-01   6.65462E-01   8.31631E+04   2.21624E+04   6.10007E+04   5.98787E+02   2.15636E+04   1.34687E+04   8.69371E+03   8.90558E+01   5.09731E+02  -3.50182E-01   4.45241E+00  -3.29641E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.28527E+01   2.45722E+01
 -9.25201E-02   4.20820E+18   4.83777E-01   6.53773E-01   8.85067E+04   2.45949E+04   6.39118E+04   1.54304E+03   2.30519E+04   1.43033E+04   1.02916E+04   2.51259E-01   1.54279E+03  -3.02220E-01   4.46476E+00  -3.26965E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.66325E+01   2.62683E+01
 -6.49742E-02   1.34906E+19   5.43455E-01   6.64109E-01   9.45385E+04   2.71906E+04   6.73480E+04   4.98461E+03   2.22059E+04   1.39773E+04   1.32132E+04   1.99173E+02   4.78544E+03  -2.52625E-01   4.47630E+00  -3.24464E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.43767E+01   2.98961E+01
 -4.08761E-02   3.87925E+19   6.45040E-01   7.34149E-01   1.27776E+05   4.36079E+04   8.41677E+04   1.73955E+04   2.62123E+04   1.84165E+04   2.51913E+04   2.15251E+03   1.52430E+04  -2.00743E-01   4.48519E+00  -3.22228E+00   0.00000E+00   0.00000E+00   0.00000E+00   8.10400E+01   3.29063E+01
