# Target loading - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2024-07-08  11:27 pshenoa RSP_D_only_nodrift_20MW_Dpuff=2.00e22_W_div
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
  5.70948E-02   6.30368E+20   1.26538E+00   1.37468E+00   6.68171E+05   5.61491E+05   1.06680E+05   3.67459E+05   1.94031E+05   2.22743E+05   3.38747E+05   8.29691E+04   2.84490E+05   4.85436E-03   5.55424E+00  -4.11644E+00   5.97927E+07   5.79464E+07   1.15124E+06   1.08759E+02   4.95303E+01
  9.18439E-02   5.60073E+20   1.54310E+00   1.75122E+00   7.13182E+05   5.73189E+05   1.39993E+05   4.21023E+05   1.52167E+05   2.20063E+05   3.53126E+05   1.10447E+05   3.10576E+05   7.84668E-03   5.55524E+00  -4.08172E+00   3.24026E+07   3.17585E+07   6.87758E+05   9.83122E+01   4.47358E+01
  1.29296E-01   4.38776E+20   2.43021E+00   3.07796E+00   7.85615E+05   6.49159E+05   1.36456E+05   5.75477E+05   7.36820E+04   2.79753E+05   3.69407E+05   2.26675E+05   3.48803E+05   1.13729E-02   5.55864E+00  -4.04445E+00   2.15426E+07   2.13559E+07   5.05293E+05   9.02146E+01   4.11794E+01
  1.73841E-01   1.14948E+20   9.10603E+00   1.18991E+01   7.46629E+05   6.70500E+05   7.61284E+04   6.41703E+05   2.87977E+04   5.04807E+05   1.65693E+05   4.84062E+05   1.57641E+05   1.53775E-02   5.56305E+00  -4.00013E+00   2.51127E+07   2.51879E+07   5.04835E+05   8.32886E+01   3.79915E+01
  2.33655E-01   2.26466E+19   3.16194E+01   3.30500E+01   7.01732E+05   6.58933E+05   4.27990E+04   6.43314E+05   1.56193E+04   6.10708E+05   4.82252E+04   5.99456E+05   4.38576E+04   1.98112E-02   5.56623E+00  -3.94042E+00   4.17343E+07   4.23862E+07   6.80154E+05   7.72678E+01   3.52308E+01
  3.11418E-01   9.09612E+18   4.50899E+01   5.33949E+01   5.32096E+05   5.00695E+05   3.14007E+04   4.91042E+05   9.65379E+03   4.79530E+05   2.11649E+04   4.72576E+05   1.84654E+04   2.46417E-02   5.56883E+00  -3.86270E+00   4.08465E+07   4.20445E+07   5.72601E+05   7.17644E+01   3.26963E+01
  3.89613E-01   5.03894E+18   4.73851E+01   7.14067E+01   4.94816E+05   4.63872E+05   3.09433E+04   4.56517E+05   7.35547E+03   4.47147E+05   1.67249E+04   4.41849E+05   1.46681E+04   2.98075E-02   5.57710E+00  -3.78520E+00   3.10376E+07   3.23605E+07   5.75003E+05   6.64153E+01   3.03013E+01
  4.61617E-01   3.26840E+18   4.27095E+01   8.08751E+01   2.85066E+05   2.53871E+05   3.11949E+04   2.46246E+05   7.62512E+03   2.42248E+05   1.16227E+04   2.36755E+05   9.49050E+03   3.52339E-02   5.59350E+00  -3.71513E+00   1.83699E+07   1.93712E+07   3.36391E+05   6.18790E+01   2.81736E+01
  5.31891E-01   2.15015E+18   3.89153E+01   8.67261E+01   1.80809E+05   1.46063E+05   3.47463E+04   1.41997E+05   4.06635E+03   1.37710E+05   8.35292E+03   1.34781E+05   7.21584E+03   4.08650E-02   5.61632E+00  -3.64887E+00   1.07633E+07   1.14636E+07   2.28090E+05   5.79863E+01   2.63040E+01
  5.98708E-01   1.39871E+18   3.63283E+01   9.25163E+01   1.23177E+05   8.64748E+04   3.67027E+04   8.17126E+04   4.76220E+03   8.03875E+04   6.08721E+03   7.69570E+04   4.75555E+03   4.66425E-02   5.64519E+00  -3.58866E+00   6.69472E+06   7.19095E+06   1.43092E+05   5.43163E+01   2.44979E+01
