Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
18,3.272540416666666926e+20,5.643355824999999078e+19,1.354754999999999825e+02,5.445527508333417899e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.017153583333333518e+04
19,1.665490000000000197e+21,3.120524999999999836e+20,1.313930000000000007e+02,7.559860000000000468e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.143350000000000000e+05
20,2.649059999999999869e+21,7.083449999999999672e+20,1.224950000000000045e+02,7.585469999999999402e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.799490000000000000e+05
21,5.088569999999999934e+21,8.338910000000000328e+20,1.152309999999999945e+02,5.227920000000000300e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.506250000000000000e+05
22,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
23,5.681980000000000131e+21,8.552400000000000000e+20,1.010240000000000009e+02,7.245349999999999824e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.739840000000000000e+05
24,8.092320000000000000e+21,2.160590000000000066e+21,7.538939999999999486e+01,5.093110000000000070e+01,7.000000000000000000e+01,5.500000000000000000e+01,8.256330000000000000e+05
25,2.333269999999999856e+22,5.710419999999999869e+21,5.659749999999999659e+01,3.853159999999999741e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.197790000000000000e+06
26,1.237090499999999900e+23,5.729005000000000544e+22,1.398843500000000084e+01,1.278979999999999961e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.148375000000000000e+06
27,1.649043333333333542e+23,5.743493333333333214e+23,1.994796666666666551e+00,2.432296666666666773e+00,7.000000000000000000e+01,5.500000000000000000e+01,7.489903333333333721e+05
28,5.041413199999999882e+22,1.071456000000000042e+23,1.221633999999999887e+00,1.570949999999999847e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.616625000000000000e+05
29,1.510057600000000000e+21,8.161594000000000459e+21,8.696541999999999328e-01,1.121827600000000036e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.324184000000000015e+04
30,8.185680000000000000e+19,7.409054999999999377e+21,7.604090000000000238e-01,1.066084999999999949e+00,7.000000000000000000e+01,5.500000000000000000e+01,7.170920000000000073e+03
31,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
