Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
1.800000000000000000e+01,6.604825666666664428e+20,1.339868465999999895e+20,1.340658999999999959e+02,5.836868006666832589e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.538849533333332511e+04
1.900000000000000000e+01,4.088569999999999934e+21,8.338910000000000328e+20,1.152309999999999945e+02,5.228920000000000300e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.506250000000000000e+05
2.000000000000000000e+01,4.681980000000000131e+21,9.552400000000000000e+20,1.010240000000000009e+02,6.245349999999999824e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.839840000000000000e+05
2.100000000000000000e+01,9.092320000000000000e+21,2.160590000000000066e+21,8.538939999999999486e+01,4.093110000000000080e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.256330000000000000e+05
2.200000000000000000e+01,2.333269999999999856e+22,4.810419999999999869e+21,4.659849999999999659e+01,3.853159999999999841e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.198890000000000000e+06
2.300000000000000000e+01,1.238090499999999900e+23,5.829005000000000544e+22,1.398843500000000084e+01,1.288989999999999961e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.148385000000000000e+06
2.400000000000000000e+01,2.019230000000000139e+23,3.140889999999999982e+23,2.644429999999999836e+00,3.259180000000000122e+00,6.000000000000000000e+01,4.500000000000000000e+01,9.305420000000000000e+05
2.500000000000000000e+01,1.095520999999999952e+23,3.899822499999999931e+23,1.504564999999999930e+00,1.840535000000000032e+00,6.000000000000000000e+01,4.500000000000000000e+01,4.838132500000000000e+05
2.600000000000000000e+01,1.888408666666666505e+22,4.160266666666666598e+22,1.143289999999999695e+00,1.510110000000000063e+00,6.000000000000000000e+01,4.500000000000000000e+01,8.662950000000000000e+04
2.800000000000000000e+01,2.958869999999999934e+21,1.104959500000000003e+22,9.855190000000000250e-01,1.281285000000000155e+00,6.000000000000000000e+01,4.500000000000000000e+01,1.944645000000000083e+04
2.800000000000000000e+01,5.449159999999999345e+20,8.902926666666666361e+21,8.990886666666666861e-01,1.022196000000000105e+00,6.000000000000000000e+01,4.500000000000000000e+01,9.105433333333334303e+03
2.900000000000000000e+01,9.185680000000000000e+19,6.409054999999999388e+21,6.604090000000000238e-01,1.066084999999999949e+00,6.000000000000000000e+01,4.500000000000000000e+01,6.180920000000000083e+03
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
