Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
1.800000000000000000e+01,4.045652692308692093e+20,6.420598684615384269e+19,1.354066923086923104e+02,5.560483084615461280e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.343203308692308862e+04
1.900000000000000000e+01,2.323869999999999803e+21,5.884884999999999508e+20,1.253500000000000085e+02,6.882620000000000005e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.530305000000000000e+05
2.000000000000000000e+01,4.088569999999999934e+21,8.338910000000000328e+20,1.152309999999999945e+02,5.228920000000000300e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.506250000000000000e+05
2.100000000000000000e+01,4.681980000000000131e+21,9.552400000000000000e+20,1.010240000000000009e+02,6.245349999999999824e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.839840000000000000e+05
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,9.092320000000000000e+21,2.160590000000000066e+21,8.538939999999999486e+01,4.093110000000000080e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.256330000000000000e+05
2.400000000000000000e+01,4.810939999999999608e+22,1.181465999999999934e+22,3.446304999999999552e+01,2.863865000000000082e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.246620000000000000e+06
2.500000000000000000e+01,1.845319999999999906e+23,9.586120000000000368e+22,5.648280000000000124e+00,6.835899999999999643e+00,6.000000000000000000e+01,4.500000000000000000e+01,1.001300000000000000e+06
2.600000000000000000e+01,1.649043333333333542e+23,4.843493333333333214e+23,1.994896666666666551e+00,2.432296666666666883e+00,6.000000000000000000e+01,4.500000000000000000e+01,8.489903333333333821e+05
2.700000000000000000e+01,4.841268499999999453e+22,1.298822249999999908e+23,1.253894999999999982e+00,1.620648500000000019e+00,6.000000000000000000e+01,4.500000000000000000e+01,1.924263250000000116e+05
2.800000000000000000e+01,4.888499999999999345e+21,1.289942999999999849e+22,1.014542666666666593e+00,1.304903333333333526e+00,6.000000000000000000e+01,4.500000000000000000e+01,2.583336666666666861e+04
2.900000000000000000e+01,3.636923200000000000e+20,8.305388000000000198e+21,8.436102000000001100e-01,1.039851599999999998e+00,6.000000000000000000e+01,4.500000000000000000e+01,8.931628999999999802e+03
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
