Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
18,5.184306071428571464e+20,8.295054992857140429e+19,1.348922857142857197e+02,5.604717864285786533e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.790917357142857509e+04
19,2.649059999999999869e+21,7.083449999999999672e+20,1.224950000000000045e+02,7.585469999999999402e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.799490000000000000e+05
20,5.088569999999999934e+21,8.338910000000000328e+20,1.152309999999999945e+02,5.227920000000000300e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.506250000000000000e+05
21,5.681980000000000131e+21,8.552400000000000000e+20,1.010240000000000009e+02,7.245349999999999824e+01,7.000000000000000000e+01,5.500000000000000000e+01,3.739840000000000000e+05
22,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
23,8.092320000000000000e+21,2.160590000000000066e+21,7.538939999999999486e+01,5.093110000000000070e+01,7.000000000000000000e+01,5.500000000000000000e+01,8.256330000000000000e+05
24,5.810939999999999607e+22,1.171465999999999934e+22,3.446304999999999552e+01,2.863765000000000072e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.246620000000000000e+06
25,1.882275000000000190e+23,2.049701000000000009e+23,5.146349999999999980e+00,5.047534999999999883e+00,7.000000000000000000e+01,5.500000000000000000e+01,8.659210000000000000e+05
26,1.463949999999999908e+23,5.544844999999999495e+23,1.669980000000000020e+00,2.018860000000000099e+00,7.000000000000000000e+01,5.500000000000000000e+01,7.582145000000000000e+05
27,5.841267499999999453e+22,1.297822249999999907e+23,1.253894999999999982e+00,1.620647500000000019e+00,7.000000000000000000e+01,5.500000000000000000e+01,1.924263250000000116e+05
28,5.778499999999999345e+21,1.289942999999999849e+22,1.014542666666666593e+00,1.304903333333333526e+00,7.000000000000000000e+01,5.500000000000000000e+01,2.583336666666666861e+04
29,3.636923200000000000e+20,7.305378000000000197e+21,7.436102000000001100e-01,1.039751599999999998e+00,7.000000000000000000e+01,5.500000000000000000e+01,7.931627999999999702e+03
30,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
31,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
