Flux_Ion                      	Flux_Atom                          	E_ion                          	E_atom              	alpha_ion           	alpha_atom         	heat_total
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.196915125999150590e+19	6.110259999999999935e+21	9.091139999999999999e-01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.261930665919631919e+05
1.223555695025566562e+20	6.956659999999999609e+21	9.109325999999999559e-01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.355699069169196916e+05
5.126155695162952159e+20	9.069935999999999650e+21	9.352595000000000205e-01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.505596926339913523e+05
1.522066235005926555e+21	1.056503999999999669e+22	1.019922500000000065e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.092013911523630352e+05
5.592369566590063633e+21	2.530609999999999692e+22	1.153950000000000055e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	5.629625230915332293e+05
6.659126325223316635e+22	3.515919000000000352e+23	1.361252599999999995e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	5.092661595065023369e+05
2.010225556505099939e+23	6.699295000000000552e+23	1.919069999999999961e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	9.566161630931099655e+05
1.355365509296629665e+23	3.229599999999999963e+23	2.216669999999999629e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.550066615165250903e+05
9.296599101109256965e+22	1.513639999999999939e+23	2.291990000000000195e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.602391510536062530e+05
5.690325953565300561e+22	6.036539999999999936e+22	3.566650000000000116e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.906596650392193555e+05
1.099559366025569995e+22	5.351259999999999609e+21	5.069565999999999995e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.200595505992255599e+05
3.065996591029669320e+21	9.595950000000000326e+20	9.399065999999999951e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.962656963319599555e+05
1.351316395961225596e+21	2.361650000000000000e+20	1.061565000000000032e+02	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.231296510690913206e+05
5.013906562506535096e+20	1.939316599999999916e+20	1.023963599999999962e+02	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.925615552616312062e+05
1.313391699555166503e+20	6.669069150000000510e+19	9.326911999999996690e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	9.122195322390263259e+05
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
3.509952559623621632e+19	1.369119659999999959e+20	9.916559999999999399e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.313523230939065023e+05
