 # r1,r2 - radial coordinates of the segment    [m]        
 # z1,z2 - vertical coordinates of the segemnt  [m]        
 # rc,zc - coordinates of the segment center    [m]        
 # xc    - coordinate along the target (0 at SP)[m]        
 # ne    - electron density                     [m^-3]     
 # Te    - electron temperature                 [eV]       
 # Ti    - ion temperature                      [eV]       
 # Tn    - neurtal temperature                  [eV]       
 # flxi  - ion flux (only fuel ions)            [m^-2*s^-1]
 # flxn  - neutral flux (only fuel atoms)       [m^-2*s^-1]
 # prm   - molecule pressure (only fuel mol.)   [Pa]       
 # pwre  - electron power flux                  [W/m^2]    
 # pwri  - ion power flux (including recomb.)   [W/m^2]    
 # pwrn  - neutral power flux                   [W/m^2]    
 # pwrr  - radiation power flux                 [W/m^2]    
 #      r1            z1            r2            z2            rc            zc            xc            ne            Te            Ti            Tn           flxi          flxn          prm           pwre          pwri          pwrn          pwrr     
    4.260825E+00 -3.717562E+00  4.272980E+00 -3.692673E+00  4.266902E+00 -3.705117E+00  8.376698E-02  5.807924E+20  1.021890E+00  1.997425E+00  2.785558E+00  5.329905E+23  4.109636E+23  7.639604E+00  3.103785E+05  1.530297E+06  4.002459E+05  0.000000E+00
    4.272980E+00 -3.692673E+00  4.286621E+00 -3.664742E+00  4.279801E+00 -3.678708E+00  1.097993E-01  4.566832E+20  1.134900E+00  2.199785E+00  3.139369E+00  4.302657E+23  2.578525E+23  4.183790E+00  2.856000E+05  1.256269E+06  2.751645E+05  0.000000E+00
    4.286621E+00 -3.664742E+00  4.301800E+00 -3.633663E+00  4.294211E+00 -3.649202E+00  1.391904E-01  2.848203E+20  1.457718E+00  2.580894E+00  3.320370E+00  2.858042E+23  1.775623E+23  2.622683E+00  2.572888E+05  8.637187E+05  1.988078E+05  0.000000E+00
    4.301800E+00 -3.633663E+00  4.318732E+00 -3.598993E+00  4.310266E+00 -3.616328E+00  1.720267E-01  1.830662E+20  1.708173E+00  3.023157E+00  3.883365E+00  1.917572E+23  1.138912E+23  1.350887E+00  2.098314E+05  6.052987E+05  1.462099E+05  0.000000E+00
    4.318732E+00 -3.598993E+00  4.337593E+00 -3.560375E+00  4.328163E+00 -3.579684E+00  2.086121E-01  9.731174E+19  2.707906E+00  3.961440E+00  4.372706E+00  1.148462E+23  6.856417E+22  7.344032E-01  2.105784E+05  3.945421E+05  9.831770E+04  0.000000E+00
    4.337593E+00 -3.560375E+00  4.358848E+00 -3.516856E+00  4.348220E+00 -3.538616E+00  2.493926E-01  5.393977E+19  4.243956E+00  4.935467E+00  4.380915E+00  7.054051E+22  3.707995E+22  4.463915E-01  2.095709E+05  2.649892E+05  5.369009E+04  0.000000E+00
    4.358848E+00 -3.516856E+00  4.377053E+00 -3.472188E+00  4.367950E+00 -3.494522E+00  2.950977E-01  3.012198E+19  6.041811E+00  5.955808E+00  5.731455E+00  4.300407E+22  1.586378E+22  1.242980E-01  1.848778E+05  1.793780E+05  2.960591E+04  0.000000E+00
    4.377053E+00 -3.472188E+00  4.394864E+00 -3.424207E+00  4.385958E+00 -3.448198E+00  3.434314E-01  1.790094E+19  6.962243E+00  7.370097E+00  4.442305E+00  2.672810E+22  1.154504E+22  9.655233E-02  1.343856E+05  1.295828E+05  1.668428E+04  0.000000E+00
    4.394864E+00 -3.424207E+00  4.422179E+00 -3.361917E+00  4.408521E+00 -3.393062E+00  3.931392E-01  1.043014E+19  8.006224E+00  9.427198E+00  3.006768E+00  1.664670E+22  3.748583E+21  4.102665E-02  9.683253E+04  9.687064E+04  3.693634E+03  0.000000E+00
    4.422179E+00 -3.361917E+00  4.464877E+00 -3.269384E+00  4.443528E+00 -3.315651E+00  4.527371E-01  5.891605E+18  9.010189E+00  1.199967E+01  4.253463E+00  9.928230E+21  7.508190E+20  3.265033E-02  6.549816E+04  6.894343E+04  1.104373E+03  0.000000E+00
    4.464877E+00 -3.269384E+00  4.499368E+00 -3.164305E+00  4.482123E+00 -3.216844E+00  5.376995E-01  3.839540E+18  9.396337E+00  1.397487E+01  2.212567E+00  6.730525E+21  6.693488E+20  9.720111E-04  4.633909E+04  5.966521E+04  4.853305E+02  0.000000E+00
    4.499368E+00 -3.164305E+00  4.509850E+00 -3.083164E+00  4.504609E+00 -3.123734E+00  6.439519E-01  2.718488E+18  9.346385E+00  1.569741E+01  1.291426E+01  5.082532E+21  1.148725E+20  3.231742E-03  3.459030E+04  5.508932E+04  4.803346E+02  0.000000E+00
    4.509850E+00 -3.083164E+00  4.511043E+00 -3.015545E+00  4.510447E+00 -3.049354E+00  7.401570E-01  1.916527E+18  8.694743E+00  1.668369E+01  6.348142E+00  3.744684E+21  5.281337E+20  1.331771E-06  2.374373E+04  4.350473E+04  1.074429E+03  0.000000E+00
    4.511043E+00 -3.015545E+00  4.503461E+00 -2.975562E+00  4.507252E+00 -2.995553E+00  8.148795E-01  1.379527E+18  7.804578E+00  1.607592E+01  1.743080E+01  2.737028E+21  2.216992E+18  2.229932E-03  1.547102E+04  2.758609E+04  1.745827E+01  0.000000E+00
    4.503461E+00 -2.975562E+00  4.496444E+00 -2.938603E+00  4.499953E+00 -2.957082E+00  8.690424E-01  1.008202E+18  7.242858E+00  1.536590E+01  1.269148E+01  2.020190E+21  3.365982E+18  1.512885E-04  1.054629E+04  1.922241E+04  1.511738E+01  0.000000E+00
    4.496444E+00 -2.938603E+00  4.489748E+00 -2.907941E+00  4.493096E+00 -2.923272E+00  9.081996E-01  7.440192E+17  6.694775E+00  1.407440E+01  5.012697E+00  1.476026E+21  2.210870E+18  2.505261E-05  7.097041E+03  1.298601E+04  3.770313E+00  0.000000E+00
    4.489748E+00 -2.907941E+00  4.482527E+00 -2.890515E+00  4.486137E+00 -2.899228E+00  9.427014E-01  5.152115E+17  6.336042E+00  1.265447E+01  4.387537E+00  1.014897E+21  8.553632E+18  0.000000E+00  4.562640E+03  9.303624E+03  1.202574E+01  0.000000E+00
    4.482527E+00 -2.890515E+00  4.477018E+00 -2.877222E+00  4.479773E+00 -2.883869E+00  9.678249E-01  2.503317E+17  6.011677E+00  1.020485E+01  1.508660E+00  4.678733E+20  3.910718E+18  0.000000E+00  1.979126E+03  6.821287E+03  1.890551E+00  0.000000E+00
