 # r1,r2 - radial coordinates of the segment    [m]        
 # z1,z2 - vertical coordinates of the segemnt  [m]        
 # rc,zc - coordinates of the segment center    [m]        
 # ne    - electron density                     [m^-3]     
 # Te    - electron temperature                 [eV]       
 # Ti    - ion temperature                      [eV]       
 # Tn    - neutral temperature                  [eV]       
 # flxi  - ion flux (only fuel ions)            [m^-2*s^-1]
 # flxn  - neutral flux (only fuel atoms)       [m^-2*s^-1]
 # prm   - molectule pressure (only fuel mol.)  [Pa]       
 # pwre  - electron power flux                  [W/m^2]    
 # pwri  - ion power flux (including recomb.)   [W/m^2]    
 # pwrn  - neutral power flux                   [W/m^2]    
 # pwrr  - radiation power flux                 [W/m^2]    
 #      r1            z1            r2            z2            rc            zc            ne            Te            Ti            Tn           flxi          flxn          prm           pwre          pwri          pwrn          pwrr     
    5.203751E+00 -4.409804E+00  5.200826E+00 -4.398887E+00  5.202289E+00 -4.404345E+00  1.000000E+10  3.000000E-02  4.361545E-01  1.795282E+00  2.757317E+12  1.106637E+21  7.427568E-02  5.350572E-07  0.000000E+00  8.719165E+02  3.874848E+02
    5.200826E+00 -4.398887E+00  5.196187E+00 -4.381575E+00  5.198506E+00 -4.390231E+00  1.000000E+10  3.000000E-02  3.931864E-01  1.794232E+00  2.503202E+12  1.102957E+21  7.584829E-02  4.420188E-07  0.000000E+00  8.035411E+02  4.122156E+02
    5.196187E+00 -4.381575E+00  5.195513E+00 -4.353925E+00  5.195850E+00 -4.367750E+00  1.000000E+10  3.000000E-02  3.931864E-01  1.883320E+00  3.550372E+12  1.371021E+21  7.351848E-02  6.269293E-07  0.000000E+00  9.964627E+02  5.706133E+02
    5.195513E+00 -4.353925E+00  5.209082E+00 -4.331521E+00  5.202298E+00 -4.342723E+00  1.000000E+10  3.000000E-02  4.197074E-01  2.014752E+00  4.976718E+12  1.885050E+21  7.836245E-02  9.388880E-07  0.000000E+00  1.586485E+03  9.210078E+02
    5.209082E+00 -4.331521E+00  5.210272E+00 -4.329834E+00  5.209677E+00 -4.330677E+00  1.000000E+10  3.000000E-02  4.250282E-01  1.965562E+00  5.037815E+12  2.093150E+21  7.594433E-02  9.511044E-07  0.000000E+00  1.561812E+03  1.045866E+03
    5.210272E+00 -4.329834E+00  5.223479E+00 -4.311059E+00  5.216876E+00 -4.320446E+00  1.000000E+10  3.000000E-02  4.250282E-01  2.039724E+00  4.997975E+12  2.007514E+21  7.298243E-02  9.435829E-07  0.000000E+00  1.382845E+03  1.092272E+03
    5.223479E+00 -4.311059E+00  5.240071E+00 -4.292359E+00  5.231775E+00 -4.301709E+00  1.000000E+10  3.000000E-02  4.681904E-01  2.137049E+00  5.101691E+12  2.277417E+21  7.349389E-02  1.047144E-06  0.000000E+00  1.728270E+03  1.300322E+03
    5.240071E+00 -4.292359E+00  5.256465E+00 -4.275969E+00  5.248268E+00 -4.284164E+00  1.300898E+10  8.093921E-02  5.132631E-01  2.141381E+00  7.225261E+12  2.437355E+21  7.185514E-02  1.974880E-06  0.000000E+00  1.752423E+03  1.650997E+03
    5.256465E+00 -4.275969E+00  5.272241E+00 -4.260841E+00  5.264353E+00 -4.268405E+00  6.205142E+10  1.806218E-01  8.302020E-01  2.538026E+00  4.491371E+13  2.538964E+21  8.147094E-02  2.136937E-05  0.000000E+00  1.895707E+03  1.863969E+03
    5.272241E+00 -4.260841E+00  5.283647E+00 -4.272135E+00  5.277944E+00 -4.266488E+00  8.297635E+11  3.179080E-01  3.419609E+00  2.963243E+00  8.517886E+13  6.346454E+21  1.029206E-01  1.423848E-04  0.000000E+00  8.508696E+03  5.302026E+03
    5.283647E+00 -4.272135E+00  5.306730E+00 -4.295208E+00  5.295189E+00 -4.283671E+00  8.776761E+11  3.179073E-01  3.419632E+00  3.000385E+00  9.694287E+13  6.751321E+21  1.027343E-01  1.620495E-04  0.000000E+00  9.225348E+03  5.762821E+03
    5.306730E+00 -4.295208E+00  5.327744E+00 -4.316220E+00  5.317237E+00 -4.305714E+00  4.977519E+11  3.179062E-01  3.419638E+00  3.018431E+00  1.067809E+14  7.476117E+21  1.056227E-01  1.784947E-04  0.000000E+00  1.049906E+04  6.403208E+03
    5.327744E+00 -4.316220E+00  5.348084E+00 -4.336547E+00  5.337914E+00 -4.326383E+00  4.977519E+11  3.179062E-01  3.419638E+00  3.118311E+00  1.097738E+14  8.149560E+21  1.139551E-01  1.834977E-04  0.000000E+00  1.320455E+04  7.104484E+03
    5.348084E+00 -4.336547E+00  5.367876E+00 -4.356334E+00  5.357980E+00 -4.346440E+00  4.977519E+11  3.179062E-01  3.419638E+00  3.193785E+00  1.491223E+14  9.349376E+21  1.233701E-01  2.492725E-04  0.000000E+00  1.466248E+04  7.913697E+03
    5.367876E+00 -4.356334E+00  5.368058E+00 -4.356519E+00  5.367967E+00 -4.356426E+00  1.495003E+13  4.757331E-01  3.691567E+00  3.218249E+00  2.506244E+15  9.888766E+21  1.339266E-01  4.775050E-03  0.000000E+00  1.860796E+04  8.396889E+03
    5.368058E+00 -4.356519E+00  5.386070E+00 -4.374518E+00  5.377064E+00 -4.365518E+00  1.484501E+13  4.757275E-01  3.691553E+00  3.159556E+00  2.825940E+15  1.056259E+22  1.365037E-01  5.384154E-03  0.000000E+00  1.722189E+04  8.814723E+03
