Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
4.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+01,5.011648081939110298e+19,6.110249999999999934e+21,9.091139999999999888e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.699634686485962008e+04
5.600000000000000000e+01,1.516848306685399040e+20,6.948859999999999608e+21,9.108324999999999449e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.908981813229282250e+04
5.700000000000000000e+01,8.824038982198132042e+20,8.846883333333333311e+21,9.528213333333334090e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.306160180045614106e+04
5.800000000000000000e+01,1.088064805505259589e+22,3.339218500000000095e+22,1.148962499999999998e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.121918500423044316e+04
5.900000000000000000e+01,2.088181492232092158e+23,5.348298000000000522e+23,1.620068999999999842e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,9.638848491134219803e+05
6.000000000000000000e+01,1.629309381360558852e+23,2.656280000000000188e+23,2.241889999999999949e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.806148158219208808e+05
6.100000000000000000e+01,3.358939191081165225e+22,2.302898333333333429e+22,2.831198333333333039e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.388554288818842318e+05
6.200000000000000000e+01,3.591692660288081801e+21,5.843950000000000328e+20,9.881809999999999263e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.289802025869056054e+05
6.300000000000000000e+01,4.339558880834011689e+20,1.288198882500000113e+20,9.485184999999999036e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.060186625810680382e+05
