Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
4.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000000e+01,4.299486686561658685e+19,6.110249999999999934e+21,9.091139999999999888e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.316008326198669602e+04
4.800000000000000000e+01,1.241442462109653238e+20,6.948859999999999608e+21,9.108324999999999449e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.389988885086808408e+04
4.800000000000000000e+01,4.164492321212954806e+20,8.088834999999999640e+21,9.342595000000000205e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.428826898933533448e+04
4.900000000000000000e+01,1.443881521098833658e+21,1.056403999999999869e+22,1.018822500000000085e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.118924086092890094e+04
5.000000000000000000e+01,5.563492488131893560e+21,2.530609999999999682e+22,1.143850000000000044e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.910248898283424001e+04
5.100000000000000000e+01,8.909090885585933125e+22,3.414819000000000342e+23,1.381252499999999994e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.116683096988088135e+05
5.200000000000000000e+01,1.992569662339323160e+23,6.898285000000000452e+23,1.918089999999999961e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,9.385026869366060810e+05
5.300000000000000000e+01,1.334415512105060842e+23,3.228499999999999963e+23,2.216689999999999828e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.340450088452260932e+05
5.400000000000000000e+01,8.182968341410685125e+22,1.513839999999999938e+23,2.291990000000000194e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.540432066988804145e+05
5.500000000000000000e+01,4.826186810482894850e+22,6.038439999999999838e+22,3.586650000000000116e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.628338318168358946e+05
5.600000000000000000e+01,1.051339420548508261e+22,4.351259999999999608e+21,4.068464999999999985e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.108120898684266262e+05
5.800000000000000000e+01,3.502825643420818080e+21,1.063640000000000000e+21,8.698130000000000450e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.883634348956991453e+05
5.800000000000000000e+01,1.591059016168309805e+21,3.106266666666666885e+20,1.042986666666666816e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.290686820189363498e+05
5.900000000000000000e+01,6.128883081323691090e+20,2.845680000000000000e+20,1.044284999999999998e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.966241238651293689e+04
6.000000000000000000e+01,2.455225388608022633e+20,8.109028500000000410e+19,9.842260000000000285e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.119369305658543009e+04
6.100000000000000000e+01,8.846303288482900403e+19,5.219428566666666803e+19,9.112886666666666235e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.418233882310628158e+04
6.200000000000000000e+01,3.318112225192585895e+19,1.368118849999999959e+20,8.818559999999999388e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.969959125011544529e+04
6.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
