Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
4.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000000e+01,8.013086514188136484e+19,6.620145000000000098e+21,9.083639999999999493e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.912958384296182228e+04
5.800000000000000000e+01,4.318603962861080582e+20,6.981050000000000459e+21,9.284566666666668080e-01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.131623368881881011e+04
5.800000000000000000e+01,2.969562800032889962e+21,1.334849333333333115e+22,1.048868333333333402e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.822960086803146988e+04
5.900000000000000000e+01,1.364010389339601449e+23,3.842329000000000298e+23,1.408616666666666838e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,6.404226408998108082e+05
6.000000000000000000e+01,2.238835560969840306e+23,3.923899999999999859e+23,2.185403333333333588e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.058284938820460515e+06
6.100000000000000000e+01,6.598408369225233288e+22,8.294645000000000082e+22,9.290089999999999681e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.021486461626833880e+05
6.200000000000000000e+01,5.048316052852385180e+21,8.461888499999999428e+20,8.812800000000000011e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.585268962886004010e+05
6.300000000000000000e+01,4.414865008918494436e+20,1.288198882500000113e+20,9.485184999999999036e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.088584850565611466e+05
