Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
4.500000000000000000e+01,9.358500889628882111e+22,3.234835428581428668e+23,1.364838142858142860e+00,4.342239999999999611e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.432183921893066145e+05
4.600000000000000000e+01,1.069238858081235604e+23,2.348132699999999969e+23,1.600856250000000103e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.183588265644668136e+05
4.800000000000000000e+01,4.230222848582364385e+22,9.106348999999999286e+22,1.342382999999999882e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.185283868928828461e+05
4.800000000000000000e+01,2.888363096569441314e+22,5.509390666666666581e+22,1.381151666666666869e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.536828495243638463e+05
4.900000000000000000e+01,2.406590869252449188e+22,2.452186666666666492e+22,8.829121333333333155e+00,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.855086559501408028e+05
5.000000000000000000e+01,6.982011399565885309e+21,1.631569999999999934e+21,5.935880000000000124e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,2.552280504364095988e+05
5.100000000000000000e+01,3.841388911394499822e+21,1.063640000000000000e+21,8.698130000000000450e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.905104859480010928e+05
5.200000000000000000e+01,1.886808095525213569e+21,3.448824999999999836e+20,1.030865000000000009e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.410363888499419905e+05
5.300000000000000000e+01,9.862809490298302628e+20,2.423350000000000000e+20,1.068199999999999989e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,1.009398903450636818e+05
5.400000000000000000e+01,5.362315862460508406e+20,2.845680000000000000e+20,1.044284999999999998e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,8.844805582108855588e+04
5.500000000000000000e+01,2.923308943433563188e+20,2.332860000000000000e+19,1.023419999999999988e+02,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.409628133385981066e+04
5.600000000000000000e+01,1.453864386885913544e+20,1.003441666666666558e+20,9.811613333333333842e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,5.139853286483495245e+04
5.800000000000000000e+01,5.564398212968384922e+19,5.219428566666666803e+19,9.112886666666666235e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,4.036492601354158988e+04
5.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.100000000000000000e+01,2.088344536958298293e+19,1.368118849999999959e+20,8.818559999999999388e+01,4.342240000000000322e+01,6.000000000000000000e+01,4.500000000000000000e+01,3.858489516844249010e+04
6.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
