Flux_Ion                      	Flux_Atom                          	E_ion                          	E_atom              	alpha_ion           	alpha_atom         	heat_total
1.531513915669063639e+22	5.253131333333333365e+22	1.152912500000000029e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	9.360006199993066656e+05
1.153925556925019565e+23	3.990060950000000106e+23	1.306309999999999969e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	5.510596235011166952e+05
1.356966156296611635e+23	3.062995599999999909e+23	1.960599000000000090e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	6.563159951959532009e+05
5.059330906991516503e+22	9.095196333333333069e+22	1.325119333333333316e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.102505399215966535e+05
6.956539215193112196e+22	1.056651999999999999e+23	2.939320000000000399e+00	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.506299910639135109e+05
1.666155665169159119e+22	9.090959999999999551e+21	2.199159999999999626e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.165599129392565652e+05
6.561113562216950063e+21	1.631569999999999935e+21	5.935990000000000125e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	2.501660965916965163e+05
3.539592155019699369e+21	1.063650000000000000e+21	6.696130000000000550e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.602355609956651629e+05
1.990661190033519503e+21	3.559925999999999636e+20	1.030665000000000009e+02	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	1.355652152502559099e+05
9.500352532990966293e+20	2.523350000000000000e+20	1.069199999999999969e+02	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	9.620692306996066335e+05
5.065135962199561156e+20	2.955660000000000000e+20	1.055265999999999999e+02	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	9.539303222256631059e+05
2.500650290652135959e+20	9.329530000000000000e+19	1.003651999999999969e+02	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	5.569952566256352252e+05
1.055355092955136326e+20	6.192166666666665595e+19	9.616663333333331699e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	5.692265353506503566e+05
5.921511605162066036e+19	5.559519659999999995e+19	6.669265999999999590e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	3.992030962660011665e+05
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.253326399920219605e+19	1.369119659999999959e+20	9.916559999999999399e+01	5.352250000000000322e+01	6.000000000000000000e+01	5.500000000000000000e+01	5.039519566625369592e+05
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
