Bin_Index,Flux_Ion,Flux_Atom,E_ion,E_atom,alpha_ion,alpha_atom,heat_total
45,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
46,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
47,5.192270034344460288e+19,7.110249999999999934e+21,8.091139999999999777e-01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.258259094216000085e+04
48,8.493514083280661709e+19,7.130040000000000262e+21,8.076140000000000319e-01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.354645906088297124e+04
49,2.242325839758069596e+20,7.732065000000000623e+21,8.173879999999999812e-01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.315003161959731733e+04
50,1.124995593297255727e+21,8.535699999999999869e+21,8.943463333333334431e-01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.875904448332389074e+04
51,5.478865646907923890e+21,2.530609999999999672e+22,1.143750000000000044e+00,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.835557634606653301e+04
52,5.895119372211976562e+22,2.116178666666666460e+23,1.336219999999999963e+00,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.748873550817189389e+05
53,1.933939381313035850e+23,7.034963333333333291e+23,1.783509999999999929e+00,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,8.031539634581325809e+05
54,1.629347621725944530e+23,3.864849999999999714e+23,2.274750000000000050e+00,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.702230519948761212e+05
55,8.049787865953707072e+22,2.051994999999999907e+23,2.225310000000000343e+00,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,5.387099302753324155e+05
56,5.901185967658999847e+22,7.038439999999999738e+22,3.586650000000000116e+00,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.725659268206386478e+05
57,1.105653398396393541e+22,5.351259999999999607e+21,5.067464999999999975e+01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,2.217029895129645593e+05
58,3.091353302971978875e+21,7.595750000000000328e+20,8.379064999999999941e+01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.797719476819275005e+05
59,1.352908459137381958e+21,2.381850000000000000e+20,1.061465000000000032e+02,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,1.241919492218637024e+05
60,5.055442227767237018e+20,1.739316499999999918e+20,1.023963499999999982e+02,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,8.797439275467132393e+04
61,1.323131429382974669e+20,7.687067140000000410e+19,8.326911999999998670e+01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.175011555691240937e+04
62,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
63,3.528171439118871757e+19,1.367117849999999959e+20,7.718559999999999377e+01,5.342240000000000322e+01,7.000000000000000000e+01,5.500000000000000000e+01,7.349812079797813203e+04
